i,objective_cost,primal_residual,dual_residual,time
1,-4.029756052499363,4.501094311309159,608.6584019316316,0.05128813200000004
50,-0.9985853625156433,0.07817358165882095,1.751496972251441,0.854626048
100,-0.9700461453160745,0.0186259791231399,1.097199210950833,1.676211365
150,-0.9279795058252635,0.014114303875831189,0.8299393387978121,2.488150356
200,-0.948747520842074,0.011414801801922647,0.727173176155955,3.2869382199999997
250,-1.010808482640482,0.009319182148197554,0.7105497874193694,4.0870908009999996
300,-1.0977216849574747,0.007480925378343175,0.717021010669318,4.898760207
350,-1.2032764651233516,0.005627372678231932,0.7233957132567237,5.724689118
400,-1.3214693239455828,0.003668255733325032,0.7160443351406651,6.544264119
450,-1.4511340821375607,0.0015048559914746255,0.6419900287103564,7.363199888
500,-1.5374282524223675,0.007641092145123368,0.11414387565953465,8.176338555
550,-1.5036121159555276,0.003869508693057142,0.2487861221793555,8.987186117
600,-1.444867197443431,0.0012988170752763148,0.21894492988968908,9.805672256
650,-1.4306247149822968,0.002839942363504879,0.054371749756718046,10.617755757
700,-1.4588790172951196,0.0005163664139543684,0.12353612433829952,11.432285386
750,-1.4720156598307745,0.001932495231156219,0.020169084004859443,12.244410245
800,-1.4549405826960544,0.00011560750228068466,0.08454171995217849,13.054272292
850,-1.4440092543819096,0.0013019301715047934,0.004114145507166033,13.860329162
900,-1.4541251254635887,0.0001522672607730678,0.057881880750624386,14.695109681
950,-1.4629152364947615,0.000880803382245878,0.005079865432195354,15.527196959
1000,-1.4570297526427618,0.0002005372457992691,0.039303480262943634,16.358808162
1050,-1.450345754743416,0.0005800251901870758,0.007743713556757061,17.187912575
1100,-1.4535591912536465,0.0002071309643805479,0.026143559761937905,18.018595423
1150,-1.45854253663411,0.00037646805236869985,0.008426067815068924,18.849143836
1162,-1.4587409256597832,0.00040348555301581145,0.0009382325597094121,19.049534737
