i,objective_cost,primal_residual,dual_residual,time
1,-3.991363136025604,4.281693189945442,528.682566234899,0.03672757799999998
50,-1.036805184150252,0.03940850492211011,3.0248553481137543,0.5757330620000001
100,-0.912547819926243,0.016780939180721512,1.1249360047896848,1.108380138
150,-0.9294792651243737,0.01278810309029917,0.8687241773540042,1.643835151
200,-1.0240242059790579,0.010228835502268524,0.820567592919354,2.166939241
250,-1.1627877276925336,0.007307887966906639,0.8232001229081326,2.679443919
300,-1.324329916682456,0.0037165160264830627,0.8361079145129447,3.193498501
350,-1.4878845605818118,0.0019326251052509942,0.803198513591943,3.710151328
400,-1.57489748500505,0.008836020556565325,0.11043783647334751,4.2280085519999995
450,-1.4948211757951875,0.0013659465996240555,0.3235188952640212,4.752058637999999
500,-1.4528178773261704,0.004429164155299707,0.05797384259851144,5.275578535999999
550,-1.4987200517895605,0.0012667354189885062,0.16745459070462962,5.795669176
600,-1.506706656836701,0.0022673219397461334,0.10276564620712401,6.318929239
650,-1.4754562387305703,0.001732845048906097,0.06286637791403339,6.837869458
700,-1.483555297496699,0.0007227826305431417,0.08825687420399021,7.348124464
750,-1.4999297796873499,0.0013887839045560752,0.0036674508680551153,7.855157838999999
800,-1.4880070923195738,0.00014403434511803628,0.057032180550307704,8.362074698
850,-1.4826293908340085,0.0008173538487580334,0.021571023851489245,8.869988574
900,-1.492303363902134,0.0004179898610701475,0.027142196877750012,9.375126985000001
922,-1.4939305585702047,0.000627363952655231,0.000814084245328666,9.597757858000001
