i,objective_cost,primal_residual,dual_residual,time
1,-2.672065868551577,1.188472134775094,71.28061764620436,0.003632228999999987
50,-3.343588132097741,0.013475743768236442,1.3721094144523662,0.068782377
100,-3.58704803231754,0.010898192968653875,0.05311340130958525,0.135517457
150,-3.5253458490603027,0.0025286163268865274,0.009355771871084878,0.202369478
200,-3.5395220079354703,0.0005289077361212023,0.007200107549501824,0.271747589
220,-3.5354755053043374,0.0003448976922380047,0.00024310103252784526,0.299933431
