i,objective_cost,primal_residual,dual_residual,time
1,-6.621036789052874,1.7064004260949541,194.08005913989388,0.008534157000000042
50,-2.3310706739226643,0.07744231624813862,1.291789433743936,0.17941415899999996
100,-3.943669773009035,0.024067855409538094,1.1475691448128742,0.34808198900000004
150,-5.113938107747329,0.010669367527643303,0.9400162292080495,0.515450161
200,-5.902470330475981,0.0046627187106712716,0.8359416038096017,0.6826939730000001
250,-6.620263837943873,0.0043983704644766294,0.7743575635494621,0.8580586110000001
300,-7.256081703722318,0.002497638732947301,0.7291340309909675,1.034160596
350,-7.834556160987686,0.0037085582192206844,0.6431767315705059,1.223362411
400,-8.106785090892279,0.007736910147808109,0.41642534864110625,1.395688427
450,-8.281676418547452,0.004937558079475898,0.3130343335095218,1.566867892
500,-8.368779275724307,0.0016781670759696025,0.27112238747639683,1.7340279750000003
550,-8.448309182855265,0.002321557061575731,0.23265526689907196,1.9004191680000002
600,-8.507561759679051,0.00232290516199145,0.2049712870759232,2.076292558
650,-8.558389276253692,0.0007315775113067386,0.18755494711597928,2.239975606
700,-8.599675981519246,0.001342267930879414,0.16887332968850843,2.408146922
750,-8.632007507695237,0.0012726931919204937,0.15250376869970436,2.5743326559999997
800,-8.660028515020015,0.0006844082792290455,0.13868843402546713,2.738925816
850,-8.681330624189604,0.0009954608068026877,0.12540558640042893,2.910168535
900,-8.69939236826901,0.0007727871975343257,0.11785173869385701,3.086186925
950,-8.717525340620373,0.0005252491886342116,0.11103673765534451,3.25494938
1000,-8.733623472546443,0.0005929083652891911,0.1034485929648691,3.4239596829999996
1050,-8.746646181566993,0.0005396295746706779,0.09572777496889917,3.5935304489999997
1100,-8.757681050477421,0.0005871861163146514,0.0881173303006909,3.762648539
1150,-8.767242146257265,0.0005475183443732846,0.08252768714016057,3.9385861920000003
1200,-8.776002272934075,0.0003540221122465384,0.07840190170546575,4.108418518000001
1250,-8.783751251204642,0.0002594272705146866,0.07419638662893184,4.276633519000001
1300,-8.79069406336184,0.00021806478190275868,0.07026388940800223,4.442869773
1350,-8.796916606008297,0.0002236910473298331,0.06642214774465921,4.607400422
1400,-8.802469646214023,0.00022261407857825818,0.06280069119280302,4.779796478000001
1450,-8.807661515627535,0.0002592778733796265,0.059288336502971065,4.950556526000001
1500,-8.812230126008938,0.0003236224059282555,0.05585757454334267,5.118879791
1550,-8.815775561627804,0.00021449344126996076,0.05288694292170271,5.288464676
1600,-8.81981464588098,0.00018789791178254602,0.05050872552527368,5.45892261
1650,-8.823247155559153,0.00021488950069503907,0.04820305420094643,5.62496039
1700,-8.826383021915984,0.0002518729853767877,0.046034769500965876,5.792585919
1750,-8.829171890180062,0.000277720321933394,0.04399384630274932,5.966030231
1800,-8.831633084343535,0.00026385344852022344,0.042178898187209206,6.139338455
1850,-8.834006429311817,0.00023901894299732166,0.04070309556709188,6.304802399000001
1900,-8.836115247619393,0.0002162014074359094,0.039447526002406544,6.472237667
1950,-8.837853726023969,0.00018273911956653434,0.03834752227847227,6.637138421
2000,-8.839587224581384,0.00017407052373946363,0.037341816048217964,6.8037047170000005
2050,-8.841234431938856,0.00018843899831416175,0.03634713134979913,6.9739242
2100,-8.842815975778104,0.00023136417370916783,0.03527038257688298,7.142752182000001
2150,-8.844287145278013,0.00029327324493884344,0.03386910004930401,7.30911779
2200,-8.845802982346042,0.0002962249996695918,0.03242498267472662,7.478466148
