i,objective_cost,primal_residual,dual_residual,time
1,-6.108975647677901,1.7591119727922486,157.39236627969814,0.005865535000000033
50,-3.5068716534394433,0.03745772850662955,1.5076512115837002,0.13117994900000002
100,-5.15685899279139,0.007467035647549924,1.100361646318672,0.275610827
150,-6.32127602458099,0.005721104368612026,0.9693320024431358,0.404789385
200,-7.280835713854963,0.004374029780025081,0.8678253986727884,0.5267791209999999
250,-7.932731908120754,0.01179280260057906,0.5633362238549493,0.649647884
300,-8.189755786944378,0.0065299152540964555,0.3888455532165577,0.7707974209999999
350,-8.303264505219568,0.0038215863596283138,0.294365399006163,0.8958293900000001
400,-8.394806668754855,0.0013181616881506842,0.24992904851761477,1.018932838
450,-8.46100527427858,0.0019857818257736338,0.21198059447049922,1.1387740309999999
500,-8.510523759248265,0.0013428047858986007,0.1878461016722413,1.258221442
550,-8.550996264845606,0.0008637201878118874,0.1697298136168192,1.385321812
600,-8.58409788211993,0.0012013487989889341,0.1497071488717899,1.5149453419999999
650,-8.608935104949047,0.0009336303378733857,0.1289999577727197,1.64351873
700,-8.627658973320726,0.0004269168322254661,0.11571209686196757,1.766940175
750,-8.642437375194953,0.0004611965013662207,0.10430052966854272,1.893669615
800,-8.65510102400836,0.00029637338538473677,0.09500549487868674,2.0333503850000003
850,-8.665956646021428,0.00027604908610660286,0.08789892106965219,2.16003554
900,-8.67487618307571,0.00020541261616967488,0.08271904212996281,2.2947703190000004
950,-8.683107783084916,0.00022143554393885134,0.07898721512267318,2.415504385
1000,-8.690940668998271,0.0002428190952912259,0.0763100142021601,2.544736406
1050,-8.698289328623911,0.0007183049510544425,0.07196033866403728,2.6660170950000004
1100,-8.70260563593857,0.00047367325744010344,0.06064607511686277,2.7901114280000003
1150,-8.707061832801607,0.0003970072256967646,0.055779516259036974,2.9125420020000004
1200,-8.710892515710475,0.0002464127494740799,0.050554869495810284,3.0334267510000004
1250,-8.714225157829071,0.00017916683348989803,0.04806239982124462,3.1566723000000003
1300,-8.717270890718174,0.00013698588977949458,0.045929234667209426,3.2753713110000002
1350,-8.720057641893435,0.0001167355697218064,0.04388440387707509,3.396705787
1400,-8.722609542707472,9.435713827725091e-05,0.04187602876175604,3.5176539510000002
1450,-8.725020576631673,6.965993907882797e-05,0.03975697065708525,3.638104675
1500,-8.726980518186059,9.916504109901279e-05,0.03603355201703129,3.759219563
1550,-8.728773363192028,6.48896919435942e-05,0.03288027528822338,3.8879598950000003
1600,-8.730238415755656,6.031299785654847e-05,0.02969235037111786,4.010455082
1650,-8.731369683290549,7.02983474556025e-05,0.02668030109104803,4.1310842569999995
1700,-8.732314672426824,6.799568263144417e-05,0.024088031605525324,4.250480313
1750,-8.733089468727469,7.357383863338127e-05,0.022075884237538375,4.368584372
1800,-8.733759854273108,7.668527015130771e-05,0.020596029305979598,4.4906592199999995
1850,-8.73436461071703,7.777625425286428e-05,0.019525822590915273,4.611105365999999
1900,-8.73491492876754,7.868920153950316e-05,0.018733665137254565,4.730558021999999
1950,-8.73543329592653,7.71160844738071e-05,0.018127379260915056,4.8554689269999995
2000,-8.73592871438444,7.50287093478846e-05,0.01764896341990907,4.979463084
2050,-8.736405185012885,7.238225962549618e-05,0.017257820158880423,5.098941233
2100,-8.736869318638337,6.92802338882434e-05,0.016928241763616066,5.218967309
2150,-8.737320533825088,6.587858930999483e-05,0.016641515772515648,5.339828563999999
2200,-8.737762129009347,6.220828723220332e-05,0.016384996141289986,5.460600447
2250,-8.738194512958268,5.838183048714328e-05,0.0161494440225604,5.580200758
2300,-8.7386179093152,5.442481844529901e-05,0.015927990565250526,5.700060562
2350,-8.739033292408466,5.041102422916008e-05,0.015715802838438847,5.821087502
2400,-8.739440265000118,4.6404747109860446e-05,0.015509008878255705,5.944401778
2450,-8.739839165206707,4.248194595337463e-05,0.015304774849627882,6.065553237
2500,-8.740229909152294,3.875034457027595e-05,0.015100813079941506,6.185479828
2550,-8.740612279633329,3.53177536200622e-05,0.01489522233817894,6.3058396409999995
2600,-8.740986248749492,3.232803752919447e-05,0.014686448278458384,6.427019956
2650,-8.741351544170982,2.9959105916863038e-05,0.014473035751397174,6.547265985
2700,-8.741707851690109,2.842917442089589e-05,0.014253764092996214,6.667219553
2750,-8.74205484084499,2.7965874716985365e-05,0.014027433066953426,6.787617281
2800,-8.742392149582052,2.8652672895928572e-05,0.013793044311086203,6.910840224999999
2850,-8.742719324287854,3.03672755601316e-05,0.01355118356762662,7.0339893259999995
2900,-8.743036039024693,3.287647683963853e-05,0.01330107108633502,7.158649317
2950,-8.743341772985728,3.578242168235424e-05,0.01304225334760481,7.278427733
3000,-8.743636131025463,3.869959136570881e-05,0.012774948421776493,7.397230930999999
3050,-8.743918828951776,4.134856725564941e-05,0.012500139191120294,7.517911262999999
3100,-8.744189586659058,4.3577623644930185e-05,0.012219698056903623,7.637777271
3150,-8.744448270756964,4.5356037820720504e-05,0.011936554456497984,7.763245648
