i,objective_cost,primal_residual,dual_residual,time
1,-2.0200741201554253,0.8808512225514049,3.9683249457204672,0.8098504029999999
50,-1.7243190062102332,0.0060537638929411795,0.4583508320192734,1.9000009810000003
100,-3.2552051193666567,0.0067013570300397535,0.43821241032155434,3.002581594
150,-4.640802928372248,0.00683401688123242,0.4276927966033908,4.095330487
200,-5.8873175738450625,0.007394058216703918,0.39899231485061426,5.191336351
250,-7.016736120810961,0.009410604176031736,0.3593711303475194,6.298665741
300,-8.058255959636009,0.009682672102694563,0.3339798578501487,7.39191717
350,-8.987399639801113,0.010873463797956461,0.3163453953017127,8.484998789
400,-9.748042745158644,0.011475194483040371,0.2935333230980094,9.579528633
450,-10.296466116332242,0.011556923135395754,0.2804139712516103,10.674599488
500,-10.641155176308146,0.010884291136907745,0.28012883406300687,11.782637115
550,-10.811520656054807,0.010353542532044017,0.282468719080276,12.881181491
600,-10.844704312441936,0.009983358052737347,0.2882873315930517,13.984507607
650,-10.770750575758962,0.009171221486319882,0.3003275249397236,15.083570386
700,-10.601105956767972,0.00838709213698213,0.31377703739513835,16.186732060999997
750,-10.339205849891338,0.007787871439530445,0.324126006564807,17.287010386
800,-9.99668388573428,0.006848286220368114,0.33129898415840403,18.383246838999998
850,-9.598160458845673,0.005706972466514016,0.3343680161475487,19.481174765
900,-9.179487356948583,0.004316768153000262,0.33309873266322854,20.576869924999997
950,-8.787560801633232,0.00473714312918282,0.28711922187106936,21.689696298999998
1000,-8.437016150714175,0.005572251190889957,0.25936103175557473,22.792203809999997
1050,-8.11657957993805,0.0046079094817958076,0.24896052910420094,23.906974210999998
1100,-7.815793400242516,0.003653317311091753,0.228915435700399,25.021558849999998
1150,-7.537698649883712,0.0034265747142894418,0.20770176425508435,26.192007258999997
1200,-7.2820343410149775,0.0030989887929650352,0.1867741380955424,27.305352688
1250,-7.058627004416355,0.0032725623221950906,0.1738638940996516,28.405585052
1300,-6.865700731857538,0.0031960363732306688,0.1572847068656916,29.502273791999997
1350,-6.71537444846667,0.0034698299857024504,0.12736590459911135,30.609385004
1400,-6.602135727713735,0.004351699997610081,0.10665036037489371,31.728638453999995
1450,-6.518871939241404,0.004592483885102602,0.09265378040517823,32.839802498000005
1500,-6.461493605542536,0.004804121034166231,0.08784506238996535,33.937761487
1550,-6.4343537913048445,0.005153800211164909,0.08455277391297324,35.038412236
1600,-6.435736778069335,0.004901705808872469,0.09161478045069991,36.157846673
1650,-6.469696374167785,0.004340301733247388,0.09861643393213103,37.263677404
1700,-6.537320760684762,0.0035228885108736494,0.10192716160655575,38.368097866
1750,-6.634540304470836,0.002709554923556312,0.10024527538792602,39.467959267000005
1800,-6.754195292408004,0.0029663123130027795,0.09391389786130287,40.571239817
1850,-6.890318925006764,0.0032055758853779164,0.08374670735911177,41.693380344000005
1900,-7.042290878210169,0.0032781651574068566,0.07180178359169499,42.791364131
1950,-7.204732701617154,0.0033433461737543517,0.06632396731765199,43.897154219
2000,-7.375069837584131,0.0031273240283509226,0.06698316632534532,44.991302904
2050,-7.5525524031071605,0.0028538301030862374,0.07278971882102023,46.096503998
2100,-7.734687026502163,0.0023629964071757866,0.07986699198701633,47.195165497000005
2150,-7.92051354870377,0.0018551569750315433,0.08517864770383676,48.297144098000004
2200,-8.109470128189995,0.0014486153302916195,0.08703296870723953,49.399798634
2250,-8.29690243222634,0.0015868460503183403,0.08444505164683909,50.494985788
2300,-8.480464780703253,0.0015991572939253959,0.07903818870210083,51.615926625
2350,-8.657039211206916,0.0016757620976509998,0.07231343975490888,52.708150612000004
2400,-8.824300353193253,0.0016689877219933907,0.06596565358251484,53.811305465000004
2450,-8.980884801206969,0.00167170185171143,0.06130683718857192,54.907651926
2500,-9.12529330982048,0.0016285406329308557,0.05805767746998992,56.006877706000004
2550,-9.256652408442399,0.0015147627239259446,0.05352699022485771,57.107124242000005
2600,-9.375801269514255,0.0014964125495181189,0.05112343622963804,58.203366927000005
2650,-9.478483491210005,0.001405934262165317,0.04849451678855996,59.298061948000004
2700,-9.554396796277866,0.0015104669969766603,0.042256782396373885,60.404019607
2750,-9.585736671879017,0.0015388868239014485,0.04108573017798544,61.522104073
2800,-9.597583179677278,0.001661873300258193,0.03949630700989996,62.628271709
2850,-9.605021604872814,0.0015904306501778466,0.037523995812545397,63.734878209
2900,-9.609310792482923,0.0014804678429349463,0.03369878497034364,64.83478199
2950,-9.608313431549915,0.001450460545867423,0.031300568113567774,65.941722277
3000,-9.60248397625427,0.0014075912407899612,0.029556706101717185,67.042334095
3050,-9.589730871943008,0.0013572642980984198,0.028203364262282357,68.145143637
3100,-9.56722757593348,0.0012893136581845056,0.027387674524903823,69.248954169
3150,-9.537074419251798,0.0012692263587848176,0.027026282823021264,70.346008536
3200,-9.500273281048381,0.0011609245387188688,0.027442702844670985,71.460078605
3250,-9.456887186336436,0.0010562834302468192,0.028441221344751536,72.569929329
3300,-9.407798748562584,0.0009515361040711393,0.02970149995510871,73.686892071
3350,-9.353662296377781,0.0008405275194362312,0.030794863784773665,74.810034214
3400,-9.294887045355136,0.0007174230040307052,0.031550409618774596,75.93624972
3450,-9.232440602759697,0.0005977633535339564,0.0319866866174891,77.033763401
3500,-9.168798574255385,0.0005213043877249058,0.029190516219053553,78.135659675
3550,-9.10503128794259,0.0005068794911432251,0.029013546429369368,79.238779483
3600,-9.041604006268189,0.0004569357372961315,0.028622694162068474,80.342181834
3650,-8.979477379679123,0.0004391997450165512,0.028022141923909664,81.458102436
3700,-8.919594211705734,0.0004635803458961472,0.02720673704102172,82.561917357
3750,-8.86261420463553,0.0004813956925476643,0.02620647639675851,83.665409839
3800,-8.809282247565198,0.0004886613251897137,0.0250578804029597,84.771807954
3850,-8.760214726844344,0.0004971754557534241,0.023802725139898846,85.878588827
3900,-8.715892913167744,0.000501708009300866,0.022455091297138824,86.97338109
3950,-8.676907342272017,0.0004844485833818087,0.02109781358043413,88.072328735
4000,-8.6437638047927,0.0005069907582172002,0.01978075321050596,89.177325575
4050,-8.616783815689773,0.0005388142132672061,0.018601414976074957,90.282529328
4100,-8.596261874156903,0.0005646263924404736,0.01543280139768323,91.390799851
4150,-8.58198795722226,0.0005879428463755202,0.014531971300954481,92.488244311
4200,-8.573536355944954,0.0005811715437430734,0.01407893142295359,93.61075028
4250,-8.570659371402398,0.0005756263282429703,0.013832785086298222,94.736631186
4300,-8.57329579615598,0.0005632229479063874,0.013763069608413397,95.850656933
4350,-8.581179767011303,0.0005416100592311124,0.013803900031582658,96.960381957
4400,-8.594150288535737,0.000518068475013262,0.013945935089244278,98.063923564
4450,-8.611794903427677,0.0004987966027862088,0.014174108647042475,99.172515631
4500,-8.633476729021465,0.0004806297205433387,0.014484960012177377,100.269647809
4550,-8.658488908452954,0.0004655615568765539,0.014808284750693818,101.377586243
4600,-8.686083189348885,0.0004446646517551781,0.015113060664906086,102.477513045
4650,-8.71548763665551,0.00041878570521909565,0.015374317265737132,103.587150448
4700,-8.746012554139941,0.00039226585160472206,0.015550755327997857,104.694782805
4750,-8.776989506918579,0.00036371379936444925,0.015626337011670474,105.797488562
4800,-8.807746604500924,0.0003360314785297091,0.015614482202018066,106.89900366
4850,-8.837680879656796,0.0003056911901961812,0.015539921449870455,108.006388188
4900,-8.866302513323742,0.00027059087394328186,0.015433402395190672,109.112027016
4950,-8.89328044815886,0.00023480850688996458,0.01530261720723598,110.212467608
5000,-8.918386418756956,0.00024247126018241561,0.015127603017538297,111.313744029
5050,-8.941492674691972,0.00025308444623882957,0.014897722354735727,112.433835715
5100,-8.962572349241617,0.00026951781188767177,0.014616221641386361,113.530621431
5150,-8.981614985795208,0.00028758265400949135,0.014273558620042967,114.637106023
5200,-8.998604465549732,0.0003032455255672601,0.013873033555769689,115.74013824000001
5250,-9.01349548052729,0.00032088717592715707,0.01344210367781015,116.84459182100001
5300,-9.02641805272149,0.000332693364610104,0.011380830404113246,117.946630974
5350,-9.037724964991346,0.0003472410006168572,0.010938301153493058,119.047903131
5400,-9.04690337582084,0.0003456243822955664,0.010589508704948895,120.157911258
5450,-9.053911492218079,0.0003512919090690273,0.01035113660302949,121.25645000200001
5500,-9.058954146986215,0.0003415476522642497,0.010162963329316523,122.365714537
5550,-9.062189819188063,0.000329564554518648,0.01006291353855311,123.468090071
5600,-9.063693430906833,0.00033342536788338347,0.009985433386187483,124.574219391
5650,-9.063440491941044,0.0003372883206750751,0.009906110387703606,125.68853697200001
5700,-9.061334628864133,0.0003426375952020968,0.009822544266164033,126.788603454
5750,-9.057413053002056,0.00034705985532089976,0.009743755374081856,127.89594081899999
5800,-9.051835691142793,0.0003448681864746112,0.009691661793341143,128.994753382
