i,objective_cost,primal_residual,dual_residual,time
1,-2.013533713948069,0.8799237290880698,3.976948124980264,1.1228194509999998
50,-1.3576596304851118,0.0044368862908055915,0.409593617968571,2.598837911
100,-2.6093671395691684,0.004839200513955085,0.3981090736958976,4.100700067
150,-3.784708843701682,0.005051147344044899,0.3884754609176467,5.589173537
200,-4.892283558026993,0.005275602772332098,0.37949455881437977,7.076720722
250,-5.938460321086702,0.0054310247755988755,0.37449488030168715,8.579314493
300,-6.923700369790514,0.005239286537105717,0.3653675709485228,10.078959157
350,-7.845934287052051,0.005589412556420626,0.34759234707442954,11.578642177
400,-8.714379579809728,0.006489459193886462,0.3261256419534857,13.103611494
450,-9.536028208054592,0.007151780487092936,0.30623846876409727,14.612088327
500,-10.319786352336251,0.0071549978350916674,0.2908517093586956,16.108120817
550,-11.065564728879451,0.007595658093905703,0.2824677986173191,17.610229374
600,-11.754438914750516,0.008062410265070007,0.2736308190353847,19.103134234
650,-12.37629809526984,0.008678909838692845,0.262880822545259,20.615289457
700,-12.9196515220815,0.008610372418604309,0.25052066464079115,22.110014803
750,-13.33996364106542,0.008899200624967202,0.2324824397256064,23.620611863
800,-13.59459863277315,0.009005326843278703,0.22467268130102527,25.139190365
850,-13.741066906691985,0.009038456297255137,0.2206548461756117,26.655926671
900,-13.781628041284284,0.0087256166858879,0.2204454847247006,28.157900349
950,-13.727028778532093,0.007720655436353483,0.22358987873929537,29.642965056
1000,-13.58747813302727,0.007540756145081055,0.22887140316623034,31.157335282000002
1050,-13.376461927220936,0.0070911500049323185,0.2356672500610255,32.652342599
1100,-13.109343047102707,0.0069393661942724555,0.24320016376451206,34.147567908
1150,-12.801283080485913,0.006508045770339156,0.2530790645637441,35.62897639
1200,-12.474998876429167,0.006352341371978448,0.26115581640310653,37.125530206
1250,-12.126925051551112,0.006334943244420235,0.2683018953549859,38.619263656
1300,-11.748256482549586,0.004786799038155184,0.2764918627811309,40.123629105
1350,-11.358448234642895,0.0045104583756551755,0.27939391414693127,41.631843959
1400,-10.95703066845321,0.004805542342070861,0.278786265032411,43.122285302
1450,-10.546902551708676,0.003906983529701032,0.2781520976561136,44.611376574
1500,-10.15727541856696,0.004622388745540957,0.2631906841915563,46.094143177
1550,-9.792129088936303,0.004509415277702381,0.2467408690313104,47.590248489
1600,-9.446295926797529,0.004703746421582071,0.23526281667657326,49.080702406
1650,-9.12087644736153,0.00459458891881296,0.22122430043923313,50.590388636
1700,-8.825654279854085,0.004235040526199886,0.20204427899254965,52.081245759
1750,-8.579461947612145,0.0040725741792776654,0.18904304378791262,53.57405781
1800,-8.376406406293965,0.003947793090766897,0.17592472045993668,55.063838054
1850,-8.214146152636246,0.0036821283654226112,0.16709284739484778,56.553844701
1900,-8.084459169386509,0.003555618916631222,0.15298959908748294,58.045220086
1950,-7.982715445955341,0.003483941677794325,0.14662872848719866,59.547628437
2000,-7.8900934811647785,0.00346130252285683,0.1375332645889729,61.054659611
2050,-7.796670630535795,0.0035980395894094357,0.1315826599748705,62.56695037
2100,-7.701155460920187,0.0035993018305035497,0.12637246922824977,64.059907456
2150,-7.603055113089442,0.003516457762381991,0.12407526594935987,65.556991804
2200,-7.504520754171786,0.0033221608364208083,0.12200140636815962,67.051398438
2250,-7.4069944614916325,0.0031837173406552874,0.11902541626588117,68.541233999
2300,-7.3128430982973995,0.0030049121351085214,0.11219827809705274,70.04132722
2350,-7.225747101812746,0.0028534869736722445,0.10364210537421036,71.544622596
2400,-7.146388480445074,0.0026804984971409785,0.09644827852833618,73.033724777
2450,-7.077240216579322,0.0027528909221575856,0.08903401002836231,74.525896487
2500,-7.017875401925438,0.003127329916434104,0.08287733200957512,76.029767701
2550,-6.968350521748204,0.003493889163688547,0.07852692611199537,77.530264757
2600,-6.929983426524755,0.003656533278274409,0.07676257712989057,79.017081105
2650,-6.902926843718353,0.003877538852258887,0.07775354460193624,80.518164314
2700,-6.88895959139705,0.003906152582272972,0.07918727539924385,82.00182235
2750,-6.890464104337116,0.003804878484148089,0.08327829118085749,83.505689872
2800,-6.905741340330224,0.00356624361102766,0.08786250785282715,84.997514887
2850,-6.933275480865903,0.0032629463559312954,0.09194915142374559,86.480700382
2900,-6.972071046216549,0.002864231907101275,0.0942788537794949,87.969573855
2950,-7.0212894770852605,0.0024382532547427777,0.0955044625339174,89.461543639
3000,-7.0796734433337525,0.001959370329741548,0.09455555203357462,90.967266816
3050,-7.1459973195766855,0.0016383209456720868,0.09146942195497912,92.466379143
3100,-7.218779707659076,0.0017417412853787694,0.0866971819312214,93.958728695
