i,objective_cost,primal_residual,dual_residual,time
1,-2.0100816849490375,0.8793702002527171,3.9810561561573135,1.6976096199999997
50,-1.1173005393465418,0.0035264234566863336,0.37312633145998286,3.6376333219999997
100,-2.167586651369162,0.00377562593058829,0.36514606686179274,5.532235395000001
150,-3.1706474246793985,0.0038703887021482608,0.3585877669196437,7.428322499
200,-4.1328915682428375,0.003923197906807539,0.3532374354186851,9.313701933
250,-5.057958501786745,0.003985659102729416,0.3463944564915894,11.227515602
300,-5.948709092513845,0.004157402199691402,0.34144027300247215,13.130763511
350,-6.805723928317013,0.004460249002297379,0.33788039996296,15.011573824000001
400,-7.632476427558939,0.0043276977737332425,0.3340949813817664,16.898891256
450,-8.426703231441454,0.004227746542524068,0.3282488627687751,18.828488475
500,-9.185718646161598,0.004368703292122699,0.32060086487243245,20.8796516
550,-9.912702836913198,0.004590041506317936,0.30792470094033153,22.79266297
600,-10.609750776881462,0.0048659290757024345,0.29502944526699715,24.694452463
650,-11.280336361218717,0.005534337050038548,0.28344452465432146,26.587695335
700,-11.92750893079519,0.005769521313296533,0.2713348291426223,28.475338688
750,-12.553445882445587,0.005709023144326892,0.26144766589538526,30.363168449
800,-13.116628311348942,0.006332590101321942,0.21434605392795508,32.258605894
850,-13.443553760314883,0.006197761072440331,0.20399211998009475,34.163993829
900,-13.71752091259147,0.006432926169000975,0.20162154371663735,36.054142236
950,-13.956262450644818,0.0065575163667587364,0.19781309637668826,37.964659108999996
1000,-14.162093084283642,0.006716961384915348,0.1915714212876477,39.858820734
1050,-14.327455541987813,0.007019570929034775,0.1822277110277971,41.754469078999996
1100,-14.447314682086576,0.006664889433852885,0.1763166115400254,43.689821706
1150,-14.521543772120513,0.006526780659348995,0.17224323057838214,45.593419317999995
1200,-14.5484124993262,0.006184288391614213,0.17191224163110294,47.491548515
1250,-14.53200452369051,0.00635226098599018,0.1721487560292523,49.407884880999994
1300,-14.481743118370769,0.006074176349648204,0.17265567146380761,51.293079420999995
1350,-14.39722748079219,0.005481496880690262,0.17223234300891174,53.208108167999995
1400,-14.284684372276232,0.005315009417373295,0.17168042493752547,55.098814354
1450,-14.15856557322553,0.005444086801178238,0.17061437069665442,56.989634257
1500,-14.028705438465638,0.005308032541059933,0.16900455383136267,58.883527023999996
1550,-13.889871217633031,0.005220963090382863,0.16963487144506914,60.769578550999995
1600,-13.735799204041694,0.005312109353169138,0.1722324520125705,62.668908974
1650,-13.56739245699881,0.0054041171544357315,0.1761026113026666,64.567774125
1700,-13.390620987488873,0.005425620051890643,0.1807547555570793,66.454562689
1750,-13.198490512791356,0.00498991553773814,0.18761516272372267,68.338190747
1800,-12.987727294097448,0.0046582241308641414,0.19412725104837936,70.215852133
1850,-12.763016291197276,0.004515592957924199,0.19929891552163218,72.114932961
1900,-12.528526243350415,0.004469857204433878,0.2033884607066122,74.020582423
1950,-12.281591837377384,0.004326827140581337,0.20614511846530806,75.90229208699999
2000,-12.015869281691836,0.003972512042837303,0.20999464652412642,77.787222355
2050,-11.739506827548526,0.0035613548317442118,0.21149436113815326,79.691375768
2100,-11.461459713593332,0.0036099959633940615,0.20904467323409395,81.579534956
2150,-11.190569384053191,0.0034748718356251342,0.20410598576910682,83.47767877999999
2200,-10.917420100346087,0.0034446505526328055,0.20257607630529773,85.366791321
2250,-10.643904408818926,0.003554171474810841,0.19914709173896547,87.252661447
2300,-10.37877324404536,0.0034680213662164035,0.19148245067740166,89.14329822799999
2350,-10.1265788548679,0.0033768432959347954,0.18386394895997843,91.03671257399999
2400,-9.892530265476244,0.0034134731211108126,0.1738628588836165,92.94139101799999
2450,-9.672616075784717,0.0034421199322018604,0.16626868723849486,94.858746334
2500,-9.46813193605271,0.0034669369070437378,0.15429722902920182,96.746345484
2550,-9.279683387998698,0.003337452596867552,0.147903563680468,98.648077856
2600,-9.109320881415846,0.00313518931264581,0.14009969020621538,100.54416819
2650,-8.95989720859613,0.003093965296195029,0.13359526336661565,102.453364341
2700,-8.831420608125233,0.003164137844153084,0.12827353026891355,104.362379323
2750,-8.722207753724483,0.003110563478573332,0.12360088335937597,106.24421665
2800,-8.62729057769101,0.0030166648365887025,0.11676068840697192,108.132564063
2850,-8.54253065166164,0.002980338568365893,0.11315723539254152,110.016170576
2900,-8.464332923142775,0.002869119333871907,0.10719552185857224,111.90560800899999
2950,-8.390994919595018,0.0028130257131025816,0.10437961034191706,113.82325616199999
3000,-8.322517687731949,0.00262239434335007,0.10098933679679285,115.722086773
3050,-8.260453052210623,0.0024585354537990166,0.09909683298410112,117.624391244
3100,-8.206069038960322,0.0024738375975573274,0.09738458932626642,119.51647349
3150,-8.161064228988598,0.0024708312793285388,0.09539175923296603,121.410731246
3200,-8.126470872619368,0.0024445005542700574,0.09327186966283993,123.306692402
3250,-8.10357964216318,0.002417984013982072,0.09053207425198014,125.19462717399999
3300,-8.09289469584125,0.0023680052582050457,0.08660190043141605,127.09044587599999
3350,-8.09235982084622,0.002380696541353904,0.08367683759229731,128.984958401
3400,-8.100640609765726,0.0023952763564617924,0.08055379139448755,130.878529826
3450,-8.116454983526161,0.002415460768648989,0.07739208712203233,132.78570428100002
3500,-8.134091558575719,0.0024266332860720763,0.07195022895796563,134.683985043
3550,-8.150848382541412,0.002368893954355365,0.06958194277687796,136.57066241200002
3600,-8.165707774205503,0.00234178908267573,0.06752099973143874,138.468160646
3650,-8.17883622794098,0.002339203684456157,0.06597851182872404,140.36123872500002
3700,-8.190752097840054,0.002279326322913383,0.06417748373123248,142.265464476
3750,-8.202599427075052,0.002202832695934364,0.06396372575160447,144.1597132
3800,-8.214352698807888,0.0021332303041981995,0.06420069919710442,146.07491245600002
3850,-8.226538554248483,0.002030670657806904,0.06470346812153766,147.97071080100002
3900,-8.239540341177912,0.0019401394268806675,0.06538499157845402,149.871482398
3950,-8.253468536266269,0.0018694586356449374,0.06621587616773272,151.76642436600002
4000,-8.268508793298395,0.0018633032679185224,0.06591927686763567,153.679904566
4050,-8.284622247514458,0.0017727881198883746,0.06716242761156213,155.559989163
4100,-8.30177296071183,0.0016205563999365142,0.06857076227380862,157.46176437600002
4150,-8.320171223846978,0.0016592085090976364,0.07005822911741406,159.351340305
4200,-8.340092619003569,0.001646485007874698,0.07163477307606961,161.233940018
4250,-8.361706589157608,0.0016336784615276004,0.07326005837391496,163.146029822
4300,-8.385044827162575,0.0016082125626420585,0.07479686122381822,165.029194781
4350,-8.41014632060435,0.0015463450265679455,0.07563988780550736,166.919051988
4400,-8.437502319242395,0.0014582476466452042,0.07658430075831228,168.810766053
4450,-8.466813286722397,0.001375786671964417,0.07710871533485257,170.69969197
4500,-8.497666773587792,0.0012563777503796756,0.07707048737827701,172.603207655
4550,-8.530828625254681,0.0011444896407422718,0.07568706130342676,174.49901880500002
4600,-8.566340050663465,0.0011428158336489523,0.0736580018759172,176.39387285400002
4650,-8.603097564030136,0.0010517562884268846,0.07207380350471994,178.275112933
4700,-8.640658354434034,0.0010994163675702314,0.07013018897832263,180.16778528700002
4750,-8.67894022275235,0.0011249512458947452,0.06792439575917243,182.05860242400001
4800,-8.7180269765446,0.0011308935609751155,0.06541088928829766,183.967890463
4850,-8.757976191903374,0.0011466796323706763,0.06252174166093993,185.86193352
4900,-8.798495592093849,0.0011507960003367904,0.05930852982264995,187.79690723200002
4950,-8.839286076081056,0.0011608764113827665,0.0557973881106109,189.686880911
5000,-8.880153994747017,0.0011939108234006073,0.052087626985831185,191.57972507800002
5050,-8.92076443190641,0.0011965661915219476,0.048433562655531046,193.49071445
5100,-8.96079919517076,0.0011661462275579632,0.04498813873053994,195.37622499900002
5150,-9.000288636394583,0.0011558607639673172,0.04185182254548425,197.26953182600002
5200,-9.03985240734071,0.0011350948847928739,0.038117509490479665,199.16255928500001
5250,-9.07896033834142,0.0011276953884547464,0.03539795864144287,201.06358147900002
5300,-9.117083970611446,0.0010807226580078582,0.03348845891547203,202.96927857400001
5350,-9.154377232910692,0.0010536574715802238,0.03224402308167867,204.858058144
5400,-9.190972237428744,0.0010361185455568598,0.03139981578796164,206.74974994000002
5450,-9.226767548059614,0.001020596446149588,0.031273304582112464,208.63660579400002
5500,-9.261757463880262,0.0010303602055544655,0.031895020630524885,210.526820501
5550,-9.295786001759307,0.0010527656917807286,0.03311920923380039,212.419661974
5600,-9.328895828845859,0.0010913263103901857,0.034848218816911435,214.320001041
5650,-9.36104137614112,0.001116707488912798,0.036228394813649825,216.236795314
5700,-9.392125521629845,0.0011282021256285094,0.03828041620428062,218.151733244
5750,-9.421898095175623,0.001131967390301108,0.0402870649512203,220.03828668300002
5800,-9.450155534274817,0.001111123808893267,0.042126146761999925,221.927374377
5850,-9.472072302609636,0.0010739735523115125,0.04313422070086438,223.83840974900002
5900,-9.487963278970183,0.0010049166649586368,0.0443562157660918,225.736082538
5950,-9.500569971944984,0.0009215747268796439,0.04521704973179294,227.628198121
6000,-9.510761262371732,0.0008211544656781098,0.045741379543710846,229.52432445600002
6050,-9.519032652630548,0.0007270654611580669,0.045884686492111595,231.449598279
6100,-9.52551142645242,0.0006474002654620402,0.04556148242036277,233.361707896
6150,-9.530370794921739,0.0005663599769140943,0.04480915248203842,235.257645523
6200,-9.53369497237709,0.0004907964567812932,0.04367789085188505,237.154621103
6250,-9.535436073905831,0.0005230786573137202,0.04227357661208506,239.04509639300002
6300,-9.53596889923204,0.0005543556422317433,0.04010264977601333,240.942055614
6350,-9.53484859304842,0.0005377249164743818,0.03830664921966594,242.852935473
6400,-9.53182147132702,0.0005865799360437994,0.03631939300371789,244.747059317
6450,-9.526880309011103,0.0006352844840869822,0.03416905422816127,246.648496935
6500,-9.519888275774885,0.0006813372418029815,0.0319156000310123,248.539483174
6550,-9.511393203203939,0.0007221286371384231,0.02955523474595972,250.428029892
6600,-9.501657439837889,0.0007452181983834048,0.026296977166140618,252.32925047100002
6650,-9.490852933251752,0.0007669924670250813,0.023868356940762905,254.211970928
6700,-9.479011246080876,0.0007772419688255016,0.021773051770719764,256.09720889
6750,-9.466070373204332,0.0007811754072834659,0.019974053059897804,257.989981742
6800,-9.452119459858508,0.0007693030275671741,0.0186190243758583,259.882922329
6850,-9.437228710879813,0.0007396429135197603,0.017748490767528616,261.782225936
6900,-9.421626483552735,0.0007111921275589786,0.017405950008868278,263.68025128799997
6950,-9.405655783136623,0.0007139138434631989,0.017484445859740343,265.57317301399996
7000,-9.389711899289912,0.0007112379332776631,0.017792512781366815,267.462082599
7050,-9.374155355205449,0.0007074047257422677,0.01829798556379735,269.353126803
7100,-9.359116480731213,0.0007051736304984513,0.01876155566023219,271.239527581
7150,-9.344722732788554,0.0006892054640324975,0.019247717595723902,273.150240856
7200,-9.330760118164765,0.0006710695854988558,0.020043774208702413,275.052369483
7250,-9.31728812609043,0.0006517281098615996,0.021004715905588445,276.949951086
7300,-9.304368205179033,0.0006186133393085603,0.021889929321974002,278.857762752
7350,-9.29141835090829,0.000579390344892117,0.022688900036396283,280.746228099
7400,-9.278186329447632,0.0005423721878397045,0.023334968415102623,282.680609642
7450,-9.264740106095095,0.0005028760022522906,0.02380296773284195,284.59850190099996
7500,-9.251058766346604,0.00045856104278330204,0.024072872270001162,286.502210007
7550,-9.237093151648509,0.00041459611727246316,0.024169821923538323,288.389593326
7600,-9.222882673755873,0.00038222631415503076,0.024126867942549125,290.270876638
7650,-9.208502299218267,0.00034667146407502076,0.02391487872527128,292.154802089
7700,-9.194033987624424,0.00031821399199694956,0.023576034172434094,294.05922497
7750,-9.179535578773185,0.00032184233806033024,0.023121904278316646,295.948495965
7800,-9.165074444201107,0.0003381056862961725,0.02255933564406785,297.850365731
7850,-9.150855200558961,0.0003616821365656345,0.02093650079351646,299.73791497999997
7900,-9.136864382356787,0.0003661211216051405,0.020160822645967493,301.62392573799997
7950,-9.122962765604711,0.0003838228956421844,0.01938567471361631,303.530132527
8000,-9.109286377031552,0.0003810201954887138,0.018607992741338713,305.422697634
8050,-9.095903326672838,0.00039077439650094605,0.017829594086003688,307.334627839
8100,-9.082921504583492,0.0003944770815896797,0.01702247634996328,309.214758234
8150,-9.07040506188102,0.0003805392682426668,0.016236932176980332,311.10792264599996
8200,-9.058397285447597,0.0003676475605497928,0.015442551753732494,313.01684263199996
8250,-9.04698566105876,0.00035749775696851453,0.014765644745874143,314.908311148
8300,-9.036188476388594,0.00034486336235740243,0.014140245272175736,316.802373689
8350,-9.026033205267707,0.0003305187700655086,0.013605288280730784,318.706480521
8400,-9.016512836428452,0.0003139667868023807,0.01313290058490145,320.65078869999996
8450,-9.007645320156616,0.0003006038165811856,0.01276353294169444,322.572352341
8500,-8.999431482865687,0.0002850330829913225,0.01248049153919284,324.466631637
